,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:06Z,648,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:07Z,671,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:08Z,697,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:09Z,725,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:10Z,755,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:11Z,779,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:12Z,826,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:13Z,864,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:14Z,907,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:15Z,951,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:16Z,998,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:17Z,1048,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:18Z,1098,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:19Z,1142,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:20Z,1197,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:21Z,1242,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:22Z,1297,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:47:23Z,1346,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
